id,user_id,symbol,name,quantity,purchase_price,current_price,type,added_date,created_at,updated_at
11111111-1111-1111-1111-111111111111,user@example.com,AAPL,Apple Inc.,10,170.25,180.75,stock,2024-01-15T12:00:00.000Z,2024-01-15T12:00:00.000Z,2024-01-15T12:00:00.000Z
22222222-2222-2222-2222-222222222222,user@example.com,MSFT,Microsoft Corporation,5,350.12,365.40,stock,2024-01-20T14:30:00.000Z,2024-01-20T14:30:00.000Z,2024-01-20T14:30:00.000Z
33333333-3333-3333-3333-333333333333,user@example.com,AMZN,Amazon.com Inc.,3,142.80,148.35,stock,2024-02-01T09:15:00.000Z,2024-02-01T09:15:00.000Z,2024-02-01T09:15:00.000Z
44444444-4444-4444-4444-444444444444,user@example.com,GOOGL,Alphabet Inc.,2,140.50,145.20,stock,2024-02-10T11:45:00.000Z,2024-02-10T11:45:00.000Z,2024-02-10T11:45:00.000Z
55555555-5555-5555-5555-555555555555,user@example.com,BTC,Bitcoin,0.25,48000.00,55000.00,crypto,2024-02-15T16:20:00.000Z,2024-02-15T16:20:00.000Z,2024-02-15T16:20:00.000Z
66666666-6666-6666-6666-666666666666,user@example.com,ETH,Ethereum,1.5,2200.00,2500.00,crypto,2024-02-18T10:10:00.000Z,2024-02-18T10:10:00.000Z,2024-02-18T10:10:00.000Z
77777777-7777-7777-7777-777777777777,user@example.com,VWCE,Vanguard FTSE All-World UCITS ETF,15,100.50,105.75,etf,2024-02-25T13:30:00.000Z,2024-02-25T13:30:00.000Z,2024-02-25T13:30:00.000Z
88888888-8888-8888-8888-888888888888,user@example.com,EUNL,iShares Core MSCI World UCITS ETF,10,75.20,78.40,etf,2024-03-01T09:45:00.000Z,2024-03-01T09:45:00.000Z,2024-03-01T09:45:00.000Z
99999999-9999-9999-9999-999999999999,user@example.com,BTPS34,BTP Italia 2034,5,98.5,99.75,bond,2024-03-05T15:00:00.000Z,2024-03-05T15:00:00.000Z,2024-03-05T15:00:00.000Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,user@example.com,TSLA,Tesla Inc.,2,175.30,180.50,stock,2024-03-10T14:15:00.000Z,2024-03-10T14:15:00.000Z,2024-03-10T14:15:00.000Z 
